Street,Event,Datetime
Commonwealth Ave,Crash,2009-09-08 11:01:00
Fenway,Crash,2009-09-09 14:43:00
Massachusetts Ave,Crash,2009-09-09 18:20:00
Dorchester Ave,Crash,2009-09-10 17:03:00
Kneeland St,Crash,2009-09-10 17:22:00
Gustin St,Crash,2009-09-10 20:42:00
Cambridge St,Crash,2009-09-10 21:12:00
Adams St,Crash,2009-09-11 18:37:00
Commonwealth Ave,Crash,2009-09-11 22:56:00
Washington St,Crash,2009-09-13 15:23:00
Columbus Ave,Crash,2009-09-13 21:25:00
Brighton Ave,Crash,2009-09-14 13:48:00
Boylston St,Crash,2009-09-14 15:45:00
Clarkson St,Crash,2009-09-14 17:46:00
Columbia Rd,Crash,2009-09-16 09:31:00
Massachusetts Ave,Crash,2009-09-17 06:57:00
Boylston St,Crash,2009-09-18 11:50:00
Appleton St,Crash,2009-09-19 15:08:00
Huntington Ave,Crash,2009-09-19 16:00:00
W Alcorn St,Crash,2009-09-19 16:59:00
Woodledge St,Crash,2009-09-19 17:18:00
Bowker St,Crash,2009-09-19 17:43:00
Child St,Crash,2009-09-20 12:18:00
Commonwealth Ave,Crash,2009-09-20 16:17:00
Old Colony Ave,Crash,2009-09-21 15:40:00
Marlborough St,Crash,2009-09-21 16:27:00
Commonwealth Ave,Crash,2009-09-23 16:50:00
Leroy St,Crash,2009-09-23 17:16:00
Albany St,Crash,2009-09-23 19:00:00
Longwood Ave,Crash,2009-09-23 19:36:00
Cummins Hwy,Crash,2009-09-24 19:13:00
Centre St,Crash,2009-09-24 21:58:00
Stuart St,Crash,2009-09-25 18:39:00
Newbury St,Crash,2009-09-26 00:41:00
Buswell St,Crash,2009-09-26 21:04:00
Hemenway St,Crash,2009-09-28 12:23:00
Glenway St,Crash,2009-09-29 18:23:00
Bowdoin St,Crash,2009-09-29 19:47:00
Bowdoin St,Crash,2009-09-30 19:31:00
Commonwealth Ave,Crash,2009-10-01 21:46:00
Centre St,Crash,2009-10-02 12:54:00
Dudley St,Crash,2009-10-04 09:11:00
Huntington Ave,Crash,2009-10-04 13:29:00
Everett St,Crash,2009-10-04 19:13:00
Centre St,Crash,2009-10-05 08:37:00
Dorchester Ave,Crash,2009-10-05 13:47:00
Washington St,Crash,2009-10-05 16:45:00
Clifford St,Crash,2009-10-05 22:39:00
Washington St,Crash,2009-10-06 06:06:00
Huntington Ave,Crash,2009-10-08 17:52:00
Huntington Ave,Crash,2009-10-12 18:59:00
Seaver St,Crash,2009-10-11 14:02:00
Washington St,Crash,2009-10-14 09:05:00
Kneeland St,Crash,2009-10-15 11:36:00
Commonwealth Ave,Crash,2009-10-17 02:16:00
Dorchester Ave,Crash,2009-10-17 09:12:00
Brighton Ave,Crash,2009-10-17 21:19:00
Massachusetts Ave,Crash,2009-10-18 15:29:00
Berkeley St,Crash,2009-10-19 10:07:00
Summer St,Crash,2009-10-19 18:41:00
