Street,Event,Datetime
Bay State Rd,Trip,2013-07-22 23:29:44
Deerfield St,Trip,2013-07-22 23:29:44
Sherborn St,Trip,2013-07-22 23:29:44
Silber Way,Trip,2013-07-22 23:29:44
Brighton Ave,Trip,2013-07-22 23:29:44
Allston St,Trip,2013-07-22 23:29:44
Northern Ave,Trip,2013-07-25 17:26:18
Sleeper St,Trip,2013-07-25 17:26:18
Atlantic Ave,Trip,2013-07-25 17:26:18
Rowes Whrf,Trip,2013-07-25 17:26:18
High St,Trip,2013-07-25 17:26:18
E India Row,Trip,2013-07-25 17:26:18
Milk St,Trip,2013-07-25 17:26:18
State St,Trip,2013-07-25 17:26:18
Commercial St,Trip,2013-07-25 17:26:18
Fulton St,Trip,2013-07-25 17:26:18
Richmond St,Trip,2013-07-25 17:26:18
North St,Trip,2013-07-25 17:26:18
Hanover St,Trip,2013-07-25 17:26:18
Parmenter St,Trip,2013-07-25 17:26:18
Salem St,Trip,2013-07-25 17:26:18
Cooper St,Trip,2013-07-25 17:26:18
N Margin St,Trip,2013-07-25 17:26:18
Endicott St,Trip,2013-07-25 17:26:18
Thacher St,Trip,2013-07-25 17:26:18
Causeway St,Trip,2013-07-25 17:26:18
N Washington St,Trip,2013-07-25 17:26:18
Charlestown Brg,Trip,2013-07-25 17:26:18
Charles River Ave,Trip,2013-07-25 17:26:18
Chelsea St,Trip,2013-07-25 17:26:18
City Sq,Trip,2013-07-25 17:26:18
Constitution Rd,Trip,2013-07-25 17:26:18
Constitution Plz,Trip,2013-07-25 17:26:18
Water St,Trip,2013-07-25 17:26:18
I 93,Trip,2013-07-25 17:26:18
Soldiers Field Rd,Trip,2013-07-27 23:22:53
Truman Hwy,Trip,2013-07-29 08:53:42
Truman Pky,Trip,2013-07-29 08:53:42
Pleasant St,Trip,2013-07-29 08:53:42
Warren Ave,Trip,2013-07-29 08:53:42
Fairmount Ave,Trip,2013-07-29 08:53:42
Tyler St,Trip,2013-07-29 08:53:42
Faraday St,Trip,2013-07-29 08:53:42
Wakefield Ave,Trip,2013-07-29 08:53:42
Neponset Valley Pky,Trip,2013-07-29 08:53:42
Tremont St,Trip,2013-07-30 21:24:04
Park St,Trip,2013-07-30 21:24:04
Beacon St,Trip,2013-07-30 21:24:04
Bowdoin St,Trip,2013-07-30 21:24:04
Derne St,Trip,2013-07-30 21:24:04
Cambridge St,Trip,2013-07-30 21:24:04
Temple St,Trip,2013-07-30 21:24:04
Charles St,Trip,2013-07-30 21:24:04
David G Mugar Way,Trip,2013-07-30 21:24:04
Longfellow Brg,Trip,2013-07-30 21:24:04
Longfellow Brg,Trip,2013-08-01 14:46:10
RT 3,Trip,2013-08-01 14:46:10
Cambridge St,Trip,2013-08-01 14:46:10
David G Mugar Way,Trip,2013-08-01 14:46:10
Charles St,Trip,2013-08-01 14:46:10
Mount Vernon St,Trip,2013-08-01 14:46:10
Beacon St,Trip,2013-08-01 14:46:10
Tremont St,Trip,2013-08-01 14:46:10
Temple Pl,Trip,2013-08-01 14:46:10
Brainerd Rd,Trip,2013-08-06 09:32:44
Feneno Ter,Trip,2013-08-06 09:32:44
Harvard Ave,Trip,2013-08-06 09:32:44
Commonwealth Ave,Trip,2013-08-06 09:32:44
Glenville Ave,Trip,2013-08-06 09:32:44
Brighton Ave,Trip,2013-08-06 09:32:44
Franklin St,Trip,2013-08-06 09:32:44
Cambridge St,Trip,2013-08-06 09:32:44
Lincoln St,Trip,2013-08-06 09:32:44
Fern St,Trip,2013-08-06 09:32:44
N Harvard St,Trip,2013-08-06 09:32:44
Western Ave,Trip,2013-08-06 09:32:44
Soldiers Field Rd,Trip,2013-08-06 09:32:44
Harvard Way,Trip,2013-08-06 09:32:44
Boston University Brg,Trip,2013-08-06 09:32:44
Storrow Dr,Trip,2013-08-06 09:32:44
Bay State Rd,Trip,2013-08-06 09:32:44
Federal St,Trip,2013-08-06 09:34:04
High St,Trip,2013-08-06 09:34:04
Summer St,Trip,2013-08-06 09:34:04
Devonshire St,Trip,2013-08-06 09:34:04
Arch St,Trip,2013-08-06 09:34:04
Washington St,Trip,2013-08-06 09:34:04
Winter St,Trip,2013-08-06 09:34:04
Jackson Ave,Trip,2013-08-06 09:34:04
Tremont St,Trip,2013-08-06 09:34:04
Park St,Trip,2013-08-06 09:34:04
Beacon St,Trip,2013-08-06 09:34:04
Walnut St,Trip,2013-08-06 09:34:04
Beaver Pl,Trip,2013-08-06 09:34:04
Storrow Dr,Trip,2013-08-06 09:34:04
Hereford St,Trip,2013-08-06 09:34:04
Massachusetts Ave,Trip,2013-08-06 09:34:04
Bay State Rd,Trip,2013-08-06 09:34:04
Raleigh St,Trip,2013-08-06 09:34:04
Deerfield St,Trip,2013-08-06 09:34:04
Boston University Brg,Trip,2013-08-06 09:34:04
Soldiers Field Rd,Trip,2013-08-06 09:34:04
Commonwealth Ave,Trip,2013-08-07 09:10:09
Beacon St,Trip,2013-08-07 09:10:09
Charlesgate E,Trip,2013-08-07 09:10:09
Dartmouth St,Trip,2013-08-07 09:10:09
Arlington St,Trip,2013-08-07 09:10:09
Boylston St,Trip,2013-08-07 09:10:09
Carver St,Trip,2013-08-07 09:10:09
Washington St,Trip,2013-08-07 09:10:09
Essex St,Trip,2013-08-07 09:10:09
Chauncy St,Trip,2013-08-07 09:10:09
Avenue de Lafayette,Trip,2013-08-07 09:10:09
Summer St,Trip,2013-08-07 09:10:09
Devonshire St,Trip,2013-08-07 09:10:09
High St,Trip,2013-08-07 09:10:09
Federal St,Trip,2013-08-07 09:10:09
Congress St,Trip,2013-08-07 09:10:09
Summer St,Trip,2013-08-07 09:19:31
Atlantic Ave,Trip,2013-08-07 09:19:31
Federal St,Trip,2013-08-07 09:19:31
High St,Trip,2013-08-07 09:19:31
Devonshire St,Trip,2013-08-07 09:19:31
Winthrop Sq,Trip,2013-08-07 09:19:31
Franklin St,Trip,2013-08-07 09:19:31
Hawley St,Trip,2013-08-07 09:19:31
Washington St,Trip,2013-08-07 09:19:31
Tremont St,Trip,2013-08-07 09:19:31
Beacon St,Trip,2013-08-07 09:19:31
Charlesgate E,Trip,2013-08-07 09:19:31
Commonwealth Ave,Trip,2013-08-07 09:19:31
Cummington St,Trip,2013-08-07 09:19:31
Chestnut Hill Ave,Trip,2013-08-07 09:19:31
Longfellow Brg,Trip,2013-08-07 09:44:10
Cambridge St,Trip,2013-08-07 09:44:10
David G Mugar Way,Trip,2013-08-07 09:44:10
Charles St,Trip,2013-08-07 09:44:10
Mount Vernon St,Trip,2013-08-07 09:44:10
Beacon St,Trip,2013-08-07 09:44:10
Tremont St,Trip,2013-08-07 09:44:10
Boylston St,Trip,2013-08-07 09:44:10
Stuart St,Trip,2013-08-07 09:44:10
Washington St,Trip,2013-08-07 09:44:10
Kneeland St,Trip,2013-08-07 09:44:10
Harrison Ave,Trip,2013-08-07 09:44:10
Kneeland St,Trip,2013-08-07 09:47:40
Washington St,Trip,2013-08-07 09:47:40
Stuart St,Trip,2013-08-07 09:47:40
Warrenton St,Trip,2013-08-07 09:47:40
Charles St S,Trip,2013-08-07 09:47:40
Park Plz,Trip,2013-08-07 09:47:40
Boylston St,Trip,2013-08-07 09:47:40
Charles St,Trip,2013-08-07 09:47:40
Beacon St,Trip,2013-08-07 09:47:40
Beaver Pl,Trip,2013-08-07 09:47:40
Storrow Dr,Trip,2013-08-07 09:47:40
Chestnut St,Trip,2013-08-07 09:47:40
Mt Vernon St,Trip,2013-08-07 09:47:40
Otis Pl,Trip,2013-08-07 09:47:40
Pinckney St,Trip,2013-08-07 09:47:40
David G Mugar Way,Trip,2013-08-07 09:47:40
Cambridge St,Trip,2013-08-07 09:47:40
Longfellow Brg,Trip,2013-08-07 09:47:40
Stimson St,Trip,2013-08-08 19:06:22
Washington St,Trip,2013-08-08 19:06:22
Grove St,Trip,2013-08-08 19:06:22
River St,Trip,2013-08-08 19:06:22
Alvarado Ave,Trip,2013-08-08 19:06:22
Turtle Pond Pky,Trip,2013-08-08 19:06:22
Reservation Rd,Trip,2013-08-08 19:06:22
Dedham St,Trip,2013-08-08 19:06:22
Smith Field Rd,Trip,2013-08-08 19:06:22
Enneking Pky,Trip,2013-08-08 19:06:22
Cambridge St,Trip,2013-08-12 08:53:33
Beacon St,Trip,2013-08-12 08:53:33
Boylston St,Trip,2013-08-12 08:53:33
Summer St,Trip,2013-08-14 17:55:47
Dorchester Ave,Trip,2013-08-14 17:55:47
Atlantic Ave,Trip,2013-08-14 17:55:47
Purchase St,Trip,2013-08-14 17:55:47
Federal St,Trip,2013-08-14 17:55:47
High St,Trip,2013-08-14 17:55:47
Devonshire St,Trip,2013-08-14 17:55:47
Winthrop Sq,Trip,2013-08-14 17:55:47
Arch St,Trip,2013-08-14 17:55:47
Franklin St,Trip,2013-08-14 17:55:47
Hawley St,Trip,2013-08-14 17:55:47
Washington St,Trip,2013-08-14 17:55:47
Bromfield St,Trip,2013-08-14 17:55:47
Tremont St,Trip,2013-08-14 17:55:47
Park St,Trip,2013-08-14 17:55:47
Beacon St,Trip,2013-08-14 17:55:47
Walnut St,Trip,2013-08-14 17:55:47
Beaver Pl,Trip,2013-08-14 17:55:47
Storrow Dr,Trip,2013-08-14 17:55:47
Massachusetts Ave,Trip,2013-08-14 17:55:47
Raleigh St,Trip,2013-08-14 17:55:47
Bay State Rd,Trip,2013-08-14 17:55:47
Deerfield St,Trip,2013-08-14 17:55:47
Western Ave,Trip,2013-08-20 20:08:32
Leo M Birmingham Pky,Trip,2013-08-20 20:08:32
Soldiers Field Rd,Trip,2013-08-20 20:08:32
Eliot Brg,Trip,2013-08-20 20:08:32
N Harvard St,Trip,2013-08-20 20:08:32
Harvard Way,Trip,2013-08-20 20:08:32
Cambridge St,Trip,2013-08-20 20:08:32
Park Dr,Trip,2013-08-23 11:29:35
Boylston St,Trip,2013-08-23 11:29:35
Riverway,Trip,2013-08-23 11:29:35
Fenway,Trip,2013-08-23 11:29:35
Evans Way,Trip,2013-08-23 11:29:35
Massachusetts Ave,Trip,2013-08-23 11:29:35
Berkeley St,Trip,2013-08-23 11:29:35
Newbury St,Trip,2013-08-23 11:29:35
Commonwealth Ave,Trip,2013-08-23 11:29:35
Beacon St,Trip,2013-08-23 11:29:35
Charlesgate E,Trip,2013-08-23 11:29:35
Charlesgate W,Trip,2013-08-23 11:29:35
Bay State Rd,Trip,2013-08-23 11:29:35
Cummington St,Trip,2013-08-23 11:29:35
Miner St,Trip,2013-08-23 11:29:35
Burlington Ave,Trip,2013-08-23 11:29:35
Brookline Ave,Trip,2013-08-23 11:29:35
Kilmarnock St,Trip,2013-08-23 11:29:35
Peterborough St,Trip,2013-08-23 11:29:35
Queensberry St,Trip,2013-08-23 11:29:35
Jersey St,Trip,2013-08-23 11:29:35
E 1st St,Trip,2013-08-23 11:30:49
W 1st St,Trip,2013-08-23 11:30:49
Pappas Way,Trip,2013-08-23 11:30:49
Summer St,Trip,2013-08-23 11:30:49
Drydock Ave,Trip,2013-08-23 11:30:49
Harbor St,Trip,2013-08-23 11:30:49
Northern Ave,Trip,2013-08-23 11:30:49
Seaport Blvd,Trip,2013-08-23 11:30:49
Thomson Pl,Trip,2013-08-23 11:30:49
Farnsworth St,Trip,2013-08-23 11:30:49
Sleeper St,Trip,2013-08-23 11:30:49
Atlantic Ave,Trip,2013-08-23 11:30:49
High St,Trip,2013-08-23 11:30:49
E India Row,Trip,2013-08-23 11:30:49
Milk St,Trip,2013-08-23 11:30:49
State St,Trip,2013-08-23 11:30:49
Commercial St,Trip,2013-08-23 11:30:49
Causeway St,Trip,2013-08-23 11:30:49
N Washington St,Trip,2013-08-23 11:30:49
Lomasney Way,Trip,2013-08-23 11:30:49
Nashua St,Trip,2013-08-23 11:30:49
Leverett Cir,Trip,2013-08-23 11:30:49
Charles St,Trip,2013-08-23 11:30:49
Storrow Dr,Trip,2013-08-23 11:30:49
Cambridge St,Trip,2013-08-23 11:30:49
RT 3,Trip,2013-08-23 11:30:49
David G Mugar Way,Trip,2013-08-23 11:30:49
Charles River Sq,Trip,2013-08-23 11:30:49
Revere St,Trip,2013-08-23 11:30:49
Pinckney St,Trip,2013-08-23 11:30:49
Brimmer St,Trip,2013-08-23 11:30:49
Mt Vernon St,Trip,2013-08-23 11:30:49
Otis Pl,Trip,2013-08-23 11:30:49
Center Plz,Trip,2013-09-15 20:11:53
Cambridge St,Trip,2013-09-15 20:11:53
Charles St,Trip,2013-09-15 20:11:53
Storrow Dr,Trip,2013-09-15 20:11:53
RT 28,Trip,2013-09-15 20:11:53
David G Mugar Way,Trip,2013-09-15 20:11:53
Charles River Sq,Trip,2013-09-15 20:11:53
Revere St,Trip,2013-09-15 20:11:53
Pinckney St,Trip,2013-09-15 20:11:53
Brimmer St,Trip,2013-09-15 20:11:53
Mt Vernon St,Trip,2013-09-15 20:11:53
Otis Pl,Trip,2013-09-15 20:11:53
Chestnut St,Trip,2013-09-15 20:11:53
Beaver Pl,Trip,2013-09-15 20:11:53
Beacon St,Trip,2013-09-15 20:11:53
Massachusetts Ave,Trip,2013-09-15 20:11:53
Bay State Rd,Trip,2013-09-15 20:11:53
Raleigh St,Trip,2013-09-15 20:11:53
Soldiers Field Rd,Trip,2013-09-15 20:11:53
Western Ave,Trip,2013-09-15 20:11:53
Harvard Way,Trip,2013-09-15 20:11:53
N Harvard St,Trip,2013-09-15 20:11:53
Longfellow Brg,Trip,2013-09-18 23:44:58
RT 3,Trip,2013-09-18 23:44:58
Cambridge St,Trip,2013-09-18 23:44:58
David G Mugar Way,Trip,2013-09-18 23:44:58
Charles St,Trip,2013-09-18 23:44:58
W Cedar St,Trip,2013-09-18 23:44:58
Temple St,Trip,2013-09-18 23:44:58
Bowdoin St,Trip,2013-09-18 23:44:58
Center Plz,Trip,2013-09-18 23:44:58
Tremont St,Trip,2013-09-18 23:44:58
Beacon St,Trip,2013-09-18 23:44:58
Winter St,Trip,2013-09-18 23:44:58
Washington St,Trip,2013-09-18 23:44:58
Hawley St,Trip,2013-09-18 23:44:58
Arch St,Trip,2013-09-18 23:44:58
Milk St,Trip,2013-09-18 23:44:58
Federal St,Trip,2013-09-18 23:44:58
Congress St,Trip,2013-09-18 23:44:58
Post Office Sq,Trip,2013-09-18 23:44:58
State St,Trip,2013-09-18 23:44:58
City Hall Plz,Trip,2013-09-18 23:44:58
Union St,Trip,2013-09-18 23:44:58
Sudbury St,Trip,2013-09-18 23:44:58
Cross St,Trip,2013-09-18 23:44:58
Endicott St,Trip,2013-09-18 23:44:58
Brighton St,Trip,2013-09-18 23:49:42
Mystic Ave,Trip,2013-09-18 23:49:42
Main St,Trip,2013-09-18 23:49:42
Sever St,Trip,2013-09-18 23:49:42
Dorrance St,Trip,2013-09-18 23:49:42
Sherman St,Trip,2013-09-18 23:49:42
Centre St,Trip,2013-09-19 21:25:11
Shrewsbury Rd,Trip,2013-09-19 21:25:11
Brownson Ter,Trip,2013-09-19 21:25:11
Louders Ln,Trip,2013-09-19 21:25:11
May St,Trip,2013-09-19 21:25:11
Arborway,Trip,2013-09-19 21:25:11
Pond St,Trip,2013-09-19 21:25:11
Prince St,Trip,2013-09-19 21:25:11
Dunster Rd,Trip,2013-09-19 21:25:11
Eliot St,Trip,2013-09-19 21:25:11
Burroughs St,Trip,2013-09-19 21:25:11
Jamaicaway,Trip,2013-09-19 21:25:11
Jamaicaway Ct,Trip,2013-09-19 21:25:11
Perkins St,Trip,2013-09-19 21:25:11
Charles St,Trip,2013-09-20 09:41:02
Arlington St,Trip,2013-09-20 09:41:02
Atlantic Ave,Trip,2013-09-20 09:41:02
Commercial St,Trip,2013-09-21 12:02:15
Causeway St,Trip,2013-09-21 12:02:15
N Washington St,Trip,2013-09-21 12:02:15
Charlestown Brg,Trip,2013-09-21 12:02:15
Charles River Ave,Trip,2013-09-21 12:02:15
Chelsea St,Trip,2013-09-21 12:02:15
US 1,Trip,2013-09-21 12:02:15
Water St,Trip,2013-09-21 12:02:15
I 93,Trip,2013-09-21 12:02:15
Science Park,Trip,2013-09-21 12:02:15
Leverett Cir,Trip,2013-09-21 12:02:15
Nashua St,Trip,2013-09-21 12:02:15
Charles St,Trip,2013-09-21 12:02:15
Storrow Dr,Trip,2013-09-21 12:02:15
Cambridge St,Trip,2013-09-21 12:02:15
RT 3,Trip,2013-09-21 12:02:15
David G Mugar Way,Trip,2013-09-21 12:02:15
Pinckney St,Trip,2013-09-21 12:02:15
Mt Vernon St,Trip,2013-09-21 12:02:15
Beacon St,Trip,2013-09-21 12:02:15
Longfellow Brg,Trip,2013-09-24 16:12:29
Cambridge St,Trip,2013-09-24 16:12:29
David G Mugar Way,Trip,2013-09-24 16:12:29
Charles St,Trip,2013-09-24 16:12:29
Revere St,Trip,2013-09-24 16:12:29
Mount Vernon St,Trip,2013-09-24 16:12:29
Beacon St,Trip,2013-09-24 16:12:29
Winter St,Trip,2013-09-24 16:13:17
Tremont St,Trip,2013-09-24 16:13:17
Park St,Trip,2013-09-24 16:13:17
Beacon St,Trip,2013-09-24 16:13:17
Walnut St,Trip,2013-09-24 16:13:17
Charles St,Trip,2013-09-24 16:13:17
Revere St,Trip,2013-09-24 16:13:17
David G Mugar Way,Trip,2013-09-24 16:13:17
Storrow Dr,Trip,2013-09-24 16:13:17
Cambridge St,Trip,2013-09-24 16:13:17
Longfellow Brg,Trip,2013-09-24 16:13:17
Massachusetts Ave,Trip,2013-09-30 09:54:50
Beacon St,Trip,2013-09-30 09:54:50
Marlborough St,Trip,2013-09-30 09:54:50
Commonwealth Ave,Trip,2013-09-30 09:54:50
Newbury St,Trip,2013-09-30 09:54:50
Boylston St,Trip,2013-09-30 09:54:50
Westland Ave,Trip,2013-09-30 09:54:50
Boylston St,Trip,2013-09-30 09:58:54
Massachusetts Ave,Trip,2013-09-30 09:58:54
Newbury St,Trip,2013-09-30 09:58:54
Commonwealth Ave,Trip,2013-09-30 09:58:54
Marlborough St,Trip,2013-09-30 09:58:54
Beacon St,Trip,2013-09-30 09:58:54
Massachusetts Ave,Trip,2013-10-15 08:54:07
Beacon St,Trip,2013-10-15 08:54:07
Charlesgate E,Trip,2013-10-15 08:54:07
Charlesgate W,Trip,2013-10-15 08:54:07
Bay State Rd,Trip,2013-10-15 08:54:07
Commonwealth Ave,Trip,2013-10-15 08:54:07
Brookline Ave,Trip,2013-10-15 08:54:07
Yawkey Way,Trip,2013-10-15 08:54:07
Burlington Ave,Trip,2013-10-15 08:54:07
Commonwealth Ave,Trip,2013-10-16 14:17:26
Massachusetts Ave,Trip,2013-10-16 14:17:26
Marlborough St,Trip,2013-10-16 14:17:26
Beacon St,Trip,2013-10-16 14:17:26
Eliot Brg,Trip,2013-10-16 14:17:26
Soldiers Field Rd,Trip,2013-10-16 14:17:26
Longfellow Pl,Trip,2013-10-22 10:13:44
Hawthorne Pl,Trip,2013-10-22 10:13:44
Martha Rd,Trip,2013-10-22 10:13:44
Lomasney Way,Trip,2013-10-22 10:13:44
Causeway St,Trip,2013-10-22 10:13:44
Canal St,Trip,2013-10-22 10:13:44
Endicott St,Trip,2013-10-22 10:13:44
N Washington St,Trip,2013-10-22 10:13:44
Charlestown Brg,Trip,2013-10-22 10:13:44
Charles River Ave,Trip,2013-10-22 10:13:44
Chelsea St,Trip,2013-10-22 10:13:44
City Sq,Trip,2013-10-22 10:13:44
Park St,Trip,2013-10-22 10:13:44
Henley St,Trip,2013-10-22 10:13:44
Warren St,Trip,2013-10-22 10:13:44
Warren St,Trip,2013-10-22 10:17:48
Pleasant St,Trip,2013-10-22 10:17:48
Main St,Trip,2013-10-22 10:17:48
Park St,Trip,2013-10-22 10:17:48
City Sq,Trip,2013-10-22 10:17:48
Chelsea St,Trip,2013-10-22 10:17:48
Charles River Ave,Trip,2013-10-22 10:17:48
Charlestown Brg,Trip,2013-10-22 10:17:48
N Washington St,Trip,2013-10-22 10:17:48
Causeway St,Trip,2013-10-22 10:17:48
Beverly St,Trip,2013-10-22 10:17:48
Canal St,Trip,2013-10-22 10:17:48
Merrimac St,Trip,2013-10-22 10:17:48
Longfellow Pl,Trip,2013-10-22 10:17:48
Staniford St,Trip,2013-10-22 10:17:48
Lynde St,Trip,2013-10-22 10:17:48
William Cardinal Oconnell Way,Trip,2013-10-22 10:17:48
Blossom St,Trip,2013-10-22 10:17:48
Cambridge St,Trip,2013-10-22 10:17:48
Washington St,Trip,2013-10-23 10:27:25
Peter Parley Rd,Trip,2013-10-23 10:27:25
Cornwall St,Trip,2013-10-23 10:27:25
Brookside Ave,Trip,2013-10-23 10:27:25
Amory St,Trip,2013-10-23 10:27:25
Lamartine St,Trip,2013-10-23 10:27:25
Boylston St,Trip,2013-10-23 10:27:25
Chestnut Ave,Trip,2013-10-23 10:27:25
Columbus Ave,Trip,2013-10-23 10:27:25
Heath St,Trip,2013-10-23 10:27:25
Terrace St,Trip,2013-10-23 10:27:25
Terrace Pl,Trip,2013-10-23 10:27:25
Gurney St,Trip,2013-10-23 10:27:25
Tremont St,Trip,2013-10-23 10:27:25
Parker St,Trip,2013-10-23 10:27:25
Station St,Trip,2013-10-23 10:27:25
Tavern Rd,Trip,2013-10-23 10:27:25
Huntington Ave,Trip,2013-10-23 10:27:25
Fenway,Trip,2013-10-23 10:27:25
Charlesgate E,Trip,2013-10-23 10:27:25
Ipswich St,Trip,2013-10-23 10:27:25
Charlesgate W,Trip,2013-10-23 10:27:25
Commonwealth Ave,Trip,2013-10-23 10:27:25
Beacon St,Trip,2013-10-23 10:27:25
Bay State Rd,Trip,2013-10-23 10:27:25
Deerfield St,Trip,2013-10-23 10:27:25
Storrow Dr,Trip,2013-10-23 10:27:25
Boston University Brg,Trip,2013-10-23 10:27:25
Soldiers Field Rd,Trip,2013-10-23 10:27:25
Cambridge St,Trip,2013-10-23 10:27:25
Western Ave,Trip,2013-10-23 10:27:25
Massachusetts Ave,Trip,2013-11-04 06:36:28
Storrow Dr,Trip,2013-11-04 06:36:28
Hereford St,Trip,2013-11-04 06:36:28
Beacon St,Trip,2013-11-04 06:36:28
Mt Vernon St,Trip,2013-11-04 06:36:28
Pinckney St,Trip,2013-11-04 06:36:28
David G Mugar Way,Trip,2013-11-04 06:36:28
Charles St,Trip,2013-11-04 06:36:28
Mount Vernon St,Trip,2013-11-04 06:36:28
Arlington St,Trip,2013-11-04 06:36:28
Commonwealth Ave,Trip,2013-11-04 06:36:28
Piedmont St,Trip,2013-11-06 15:42:19
Broadway St,Trip,2013-11-06 15:42:19
Charles St S,Trip,2013-11-06 15:42:19
Stuart St,Trip,2013-11-06 15:42:19
Park Plz,Trip,2013-11-06 15:42:19
Boylston St,Trip,2013-11-06 15:42:19
Charles St,Trip,2013-11-06 15:42:19
Beacon St,Trip,2013-11-06 15:42:19
Beaver Pl,Trip,2013-11-06 15:42:19
Chestnut St,Trip,2013-11-06 15:42:19
Otis Pl,Trip,2013-11-06 15:42:19
Mt Vernon St,Trip,2013-11-06 15:42:19
Brimmer St,Trip,2013-11-06 15:42:19
Pinckney St,Trip,2013-11-06 15:42:19
Revere St,Trip,2013-11-06 15:42:19
Charles River Sq,Trip,2013-11-06 15:42:19
David G Mugar Way,Trip,2013-11-06 15:42:19
Cambridge St,Trip,2013-11-06 15:42:19
Storrow Dr,Trip,2013-11-06 15:42:19
RT 28,Trip,2013-11-06 15:42:19
Leverett Cir,Trip,2013-11-06 15:42:19
Nashua St,Trip,2013-11-06 15:42:19
Science Park,Trip,2013-11-06 15:42:19
Gilmore Brg,Trip,2013-11-06 15:42:19
Leverett Circle Conn,Trip,2013-11-06 15:42:19
Rutherford Ave,Trip,2013-11-06 15:42:19
Washington St,Trip,2013-11-06 15:42:19
Essex St,Trip,2013-11-06 15:42:19
Baldwin St,Trip,2013-11-06 15:42:19
Main St,Trip,2013-11-06 15:42:19
Alford St,Trip,2013-11-06 15:42:19
Commonwealth Ave,Trip,2013-11-14 23:53:39
US 1,Trip,2013-11-23 15:16:12
I 93,Trip,2013-11-23 15:16:12
Water St,Trip,2013-11-23 15:16:12
Beverly St,Trip,2013-11-23 15:16:12
Causeway St,Trip,2013-11-23 15:16:12
N Washington St,Trip,2013-11-23 15:16:12
Canal St,Trip,2013-11-23 15:16:12
N Beacon St,Trip,2014-01-15 22:53:12
Market St,Trip,2014-01-15 22:53:12
Western Ave,Trip,2014-01-15 22:53:12
N Beacon St,Trip,2014-01-15 23:13:38
Western Ave,Trip,2014-01-15 23:13:38
Cambridge St,Trip,2014-01-15 23:13:38
Lincoln St,Trip,2014-01-15 23:13:38
Royal St,Trip,2014-01-15 23:13:38
Mansfield St,Trip,2014-01-15 23:13:38
Linden St,Trip,2014-01-15 23:13:38
Harvard Ave,Trip,2014-01-15 23:13:38
Brighton Ave,Trip,2014-01-15 23:13:38
Glenville Ave,Trip,2014-01-15 23:13:38
Commonwealth Ave,Trip,2014-01-15 23:13:38
Babbitt St,Trip,2014-01-15 23:13:38
Mountfort St,Trip,2014-01-15 23:13:38
Buswell St,Trip,2014-01-15 23:13:38
St Marys St,Trip,2014-01-15 23:13:38
Beacon St,Trip,2014-01-15 23:13:38
Park Dr,Trip,2014-01-15 23:13:38
Riverway,Trip,2014-01-15 23:13:38
Brookline Ave,Trip,2014-01-15 23:13:38
Boylston St,Trip,2014-01-15 23:13:38
Murdock St,Trip,2014-01-15 23:18:08
Sparhawk St,Trip,2014-01-15 23:18:08
Cambridge St,Trip,2014-01-15 23:18:08
Warren St,Trip,2014-01-15 23:18:08
Commonwealth Ave,Trip,2014-01-15 23:18:08
Mountfort St,Trip,2014-01-15 23:18:08
Park Dr,Trip,2014-01-15 23:18:08
Beacon St,Trip,2014-01-15 23:18:08
Riverway,Trip,2014-01-15 23:18:08
Brookline Ave,Trip,2014-01-15 23:18:08
Boylston St,Trip,2014-01-15 23:18:08
Brighton Ave,Trip,2014-01-15 23:18:08
N Beacon St,Trip,2014-01-15 23:18:08
Green St,Trip,2014-01-18 13:14:50
Lester Pl,Trip,2014-01-18 13:14:50
Centre St,Trip,2014-01-18 13:14:50
Pond St,Trip,2014-01-18 13:14:50
Jamaicaway,Trip,2014-01-18 13:14:50
Perkins St,Trip,2014-01-18 13:14:50
Soldiers Field Rd,Trip,2014-01-18 13:14:50
Summer St,Trip,2014-03-05 22:16:20
Melcher St,Trip,2014-03-05 22:16:20
Dorchester Ave,Trip,2014-03-05 22:16:20
Congress St,Trip,2014-03-05 22:16:20
Atlantic Ave,Trip,2014-03-05 22:16:20
High St,Trip,2014-03-05 22:16:20
E India Row,Trip,2014-03-05 22:16:20
Milk St,Trip,2014-03-05 22:16:20
State St,Trip,2014-03-05 22:16:20
Commercial St,Trip,2014-03-05 22:16:20
Cross St,Trip,2014-03-05 22:16:20
Fulton St,Trip,2014-03-05 22:16:20
North St,Trip,2014-03-05 22:16:20
Hanover St,Trip,2014-03-05 22:16:20
Salem St,Trip,2014-03-05 22:16:20
Endicott St,Trip,2014-03-05 22:16:20
Stillman Pl,Trip,2014-03-05 22:16:20
Cooper St,Trip,2014-03-05 22:16:20
N Washington St,Trip,2014-03-05 22:16:20
Charlestown Brg,Trip,2014-03-05 22:16:20
Charles River Ave,Trip,2014-03-05 22:16:20
Chelsea St,Trip,2014-03-05 22:16:20
City Sq,Trip,2014-03-05 22:16:20
Harvard St,Trip,2014-03-05 22:16:20
Rutherford Ave,Trip,2014-03-05 22:16:20
Washington St,Trip,2014-03-05 22:16:20
Union St,Trip,2014-03-05 22:16:20
Essex St,Trip,2014-03-05 22:16:20
Main St,Trip,2014-03-05 22:16:20
Alford St,Trip,2014-03-05 22:16:20
West St,Trip,2014-03-05 22:16:20
Sever St,Trip,2014-03-05 22:16:20
Mystic Ave,Trip,2014-03-05 22:16:20
Sherman St,Trip,2014-03-05 22:16:20
