routeid,created_utc,activitytype,latitude,longitude,distance_m,n_points
7bf12d4b7246383edeefce4c3d8be06c,2012-08-15 20:23:44.530000,Running,42.378291,-71.1063,2503.32233386066,8
a3da80c022eb1f1dd8ad75df2c64903c,2012-08-15 22:29:27.701000,Running,42.360747,-71.070523,3221.106991177267,16
8fa05dea231ee4df54a8fd58eb7f4155,2012-08-16 01:00:08.657000,Running,42.34162,-71.08047,5926.268527675404,324
db1e6cce71ae6725271d729ea539e06b,2012-08-16 19:03:57.329000,Running,42.37504,-71.1531,8211.395269341965,316
df6a7abf9c9ad169c867959ae4dc6c59,2012-08-16 22:45:08.803000,Running,42.304907,-71.112077,4064.8174626671303,25
11b0aec745a189768c939cafefce6c7f,2012-08-17 14:17:13.723000,Walking,42.353224,-71.05706,3133.3976539473388,18
87574b2a2c3488ce86595f87c21e0662,2012-08-17 15:33:49.951000,Running,42.365592,-71.108352,3815.521287392691,346
18f60e14d259d5c9d9922feee801aef7,2012-08-17 15:51:33.297000,Running,42.35019,-71.05974,8245.054925905566,395
901e76f2bae5ef21d4809bd55307b239,2012-08-17 15:57:58.243000,Running,42.351182,-71.064905,7802.463646660779,484
06bf01cc7dcc2f284b447489513b3dd1,2012-08-17 16:40:51.939000,Running,42.351197,-71.064836,6898.533103394798,53
1f03c5f41c019f0de683511f558f3601,2012-08-17 17:31:16.231000,Running,42.318273,-71.091196,3142.9203672665535,311
d1550878e3fc4b508a9d6605366ce1a3,2012-08-17 20:28:28.398000,Running,42.35019,-71.05974,8245.054925905566,395
73090d35a8fddc1152677a3580bfd581,2012-08-18 14:00:30.660000,Running,42.327754,-71.092699,9677.152382637665,147
01697e48fe15526a36c5be977c7e6aa0,2012-08-18 15:31:45.785000,Running,42.40754,-71.1305,9809.185860851758,406
aee6ee1f89cdfde727eacbdb0a1a1212,2012-08-18 18:43:10.379000,Running,42.36578,-71.06528,2119.335768231166,60
2c0e0a5667627f584ddfb9e132c909b7,2012-08-18 18:50:46.066000,Running,42.36384,-71.08347,2326.4934405194153,72
21310afb6a44c4d65504382a24914485,2012-08-18 21:56:39.087000,Running,42.367203,-71.057973,4873.971788700455,339
afa8052ff17c121793acd284c015bdfe,2012-08-19 00:16:09.981000,Running,42.387002,-71.107994,5665.199977885269,15
03a585afd9a2bc5af962fe981f9e07fe,2012-08-19 01:21:13.164000,Running,42.354238,-71.080833,12339.666287808339,112
5333c0804bc296f4c72249cc06c039dd,2012-08-19 01:53:08.136000,Running,42.282851,-71.134817,10577.201113003293,347
64fd45c4d1337ff2c393e65eae0adc97,2012-08-19 04:06:42.097000,Running,42.34967,-71.04741,8381.259503711124,448
6b734465b6c50c82e021faa95e184411,2012-08-19 13:15:46.952000,Running,42.401634,-71.115942,8277.708620694539,36
268805348b6f7a2c1d8874ed8c6c10a7,2012-08-19 16:32:46.551000,Running,42.3418,-71.100997,12881.901364471047,91
a28a6600d6ec7bf0d834176d0086cced,2012-08-19 19:13:50.292000,Running,42.36618,-71.05131,6742.241384191568,154
6bfe1398b6d35c0e2c67031a5305b023,2012-08-19 19:15:40.453000,Running,42.320742,-71.110679,4316.881910257986,13
55603899940268b0266288ccde9157f5,2012-08-19 19:27:08.962000,Running,42.34929,-71.07691,5821.36916313095,176
03a89a262edfae63462609b2cea3f689,2012-08-19 19:34:51.859000,Running,42.38504,-71.15562,7253.663209380721,362
87a4d4dae964fead6ab3850a2e2a27b1,2012-08-19 19:40:24.392000,Running,42.35129,-71.07793,6741.35795196701,382
36f5f7a5fac9237548dc4737107691f5,2012-08-19 19:42:24.896000,Running,42.35129,-71.07793,7081.118749776433,392
48b4c9c8dabd554ec1a67bbb56d73fdd,2012-08-19 21:11:23.937000,Running,42.33667,-71.154429,4944.247561360353,257
4dca1048ab8e76c915124a10e02fe135,2012-08-19 22:06:57.438000,Running,42.34967,-71.04741,6416.71270790217,354
5bf22ee3d27e16964294601f835bd709,2012-08-19 23:14:46.820000,Running,42.3616,-71.13394,3581.3813780993187,136
ff18b58c1dec5d8fc43c8d94e25e7737,2012-08-20 00:10:53.917000,Running,42.372504,-71.156668,4032.618616935847,353
52ac94f0e8624fc3e98528218913275b,2012-08-20 00:11:33.388000,Running,42.366096,-71.161795,4005.306885403772,350
14aea834e24a822c89f55ec9fcbd5994,2012-08-20 01:54:17.215000,Running,42.2844,-71.132889,7708.4247163635355,340
6f4a3fd9b4beace7b17d91c15873436d,2012-08-20 14:26:26.581000,Running,42.360216,-71.087654,3714.385788098381,346
911a1f0c82d1de3253a9d47673a7b616,2012-08-20 18:16:35.526000,Running,42.359337,-71.087135,6262.588266954827,122
9234ed93b5b8bfaf2b43e3b83196d209,2012-08-20 22:50:00.849000,Running,42.338252,-71.084705,4617.233435485572,224
e7b8e1a60700582d62b87ab349900d3c,2012-08-20 23:43:50.244000,Running,42.33677,-71.08358,4071.220932817598,226
915cf291f6e5094f826faf787db770d6,2012-08-21 19:39:45.289000,Running,42.342672,-71.069962,10117.196688173359,71
